,Канавинский мост 1,Канавинский мост 2,Вокзал,Метромост 1,Метромост 2,Молитовский мост 1,Молитовский мост 2,Мызинский мост 2,Борский мост 1,Борский мост 2,Паромная переправа 1,Паромная переправа 2,Памятник Горькому,Борский музей военной техники,Борский краеведческий музей,Неклюдово,Музей Сахарова,Зоопарк,Копосовская дубрава,Стрелка,Собор Александра Невского,Нижегородская ярмарка,Мещерское озеро,Парк 1 мая,Нижегородский планетарий,Спасский Староярмарочный собор,Кремль,Памятник Минину и Пожарскому,Чкаловская лестница,Рождественская церковь,Домик Петра 1,Набережная Федоровского,Усадьба Рукавишниковых,Церковь Рождества Иоанна Предтечи на Торгу,Благовещенский монастырь,Нижне-Волжская набережная,Большая Покровская улица,Большая Покровская улица 2,Площадь Минина и Пожарского,Обзорная площадка на Гремячей горе,Музей истории художественных промыслов,Никольский собор,Музей «Паровозы России»,Русский музей фотографии,Литературный музей им. Горького,Музей народов Нижегородского поволжья,Щёлоковский хутор,Святой источник Пафнутия Балахнинского,Перекресток 1,Перекресток 2,Перекресток 3,Перекресток 4,Мызинский мост 1,Перекресток 5,Перекресток 6,Перекресток 7,Перекресток 8
Русский музей фотографии,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,5,4
Литературный музей им. Горького,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,6,-
Музей народов Нижегородского поволжья,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,4,-,-,-
Щёлоковский хутор,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,-,-,-,-,-,-,4,-,-,-
Святой источник Пафнутия Балахнинского,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,10,-,-,-,-,-
Перекресток 1,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,0,7,-,-,-,-,-,-,-
Перекресток 2,-,-,10,-,-,-,7,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,7,0,4,-,-,-,-,-,-
Перекресток 3,-,-,3,-,-,-,5,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,6,-,-,-,-,-
Перекресток 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,6,0,-,-,-,-,-
Мызинский мост 1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,6,10,-
Перекресток 5,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,8,0,8,7,-
Перекресток 6,5,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,0,7,3
Перекресток 7,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,5,-,-,-,4,-,-,-,5,4,6,-,-,-,-,5,6,-,-,-,-,-,-,-,10,7,7,0,4
Перекресток 8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,4,4,-,-,3,-,3,3,-,4,3,-,-,4,-,-,-,-,-,-,-,-,-,-,3,4,0
